Snaive,tslm,arima,SimpleModel,Fold
2262.4217602319363,2042.4014879137032,2095.8478161820244,2262.4217602319363,1
1787.0808754194452,1440.0832575091738,2233.815040179245,1787.0808754194452,2
1779.051510270598,1434.715609071188,2183.3553466336884,1779.051510270598,3
1716.116847421446,1596.987698661043,2132.1996576716724,1716.116847421446,4
2400.395039181882,2327.6378315892375,5061.745137220361,2400.395039181882,5
1696.8997569832404,1674.1848721281433,2942.7058236414437,1696.8997569832404,6
2086.966952017652,1718.576959856741,1848.0312754865947,2086.966952017652,7
1750.2828289746,1420.8170833304043,1534.0692799086933,1750.2828289746,8
1719.8865652844092,1430.8008031205457,1426.608132345228,1719.8865652844092,9
1680.9561186188296,1447.0336673183504,1379.4607126552028,1680.9561186188296,10
1888.005825440404,1653.323927049853,2283.7838221924153,1888.005825440404,avg
